0,5,0
1,4,0
2,3,0
3,2,0
4,2,0
5,2,3
6,5,6
7,11,12
8,23,16
9,39,25
10,64,28
11,92,38
12,130,55
13,184,85
14,268,121
15,387,154
16,539,174
17,710,224
18,930,285
19,1209,350
20,1552,429
21,1971,507
22,2468,602
23,3054,745
24,3783,849
25,4528,979
26,5392,1159
27,6324,1278
28,7325,1422
29,8455,1513
30,9578,1889
31,11053,2082
32,12620,2299
33,14296,2594
34,16180,2907
35,18279,3302
36,20743,3450
37,23204,3527
38,25604,4260
39,28638,4536
40,31784,4278
41,34466,4482
42,37117,4432
43,39409,4329
44,41674,4262
45,43764,3719
46,45098,3579
47,46227,3889
48,47603,3762
49,48849,3597
50,49986,3560
51,51073,3383
52,52096,3629
53,53601,3451
54,54767,3216
55,55795,2653
56,56310,2575
57,56731,2457
58,57086,2368
59,57313,1964
60,57072,1849
61,56939,1708
62,56760,1903
63,56858,1756
64,56914,1709
65,56986,1954
66,57350,1790
67,57631,1327
68,57484,1253
69,57323,1086
70,57114,980
71,56936,958
72,56763,503
73,56157,444
74,55498,1244
75,55676,1171
76,55824,1176
77,55971,1125
78,56092,1110
79,56215,1093
80,56338,1037
81,56445,512

