0,0
0,0
0,0
0,0
0,0
0,0
1,1
2,3
2,6
3,9
4,13
8,21
13,34
15,49
28,77
35,112
43,156
48,204
62,266
79,345
106,451
130,582
156,738
267,1006
280,1286
317,1601
347,1947
474,2420
633,3051
774,3808
739,4528
905,5416
1005,6405
1094,7483
1062,8530
1019,9333
1004,10137
1021,10950
984,11692
916,12367
933,12896
953,13294
902,13723
861,13886
836,14034
761,13905
751,13674
729,13427
687,13173
647,12927
604,12720
560,12383
522,12099
475,11861
387,11448
335,11027
314,10584
280,10150
291,9713
280,9294
260,8740
237,8334
213,7877
191,7411
179,6990
157,6577
140,6203
140,5886
133,5633
128,5362
123,5071
108,4765
98,4479
99,4150
92,3842
80,3480
66,3190
61,2937
52,2675
47,2422
43,2237
42,2080
41,1921
39,1789
36,1682
38,1578
33,1483
30,1399
30,1301
31,1232
29,1147
24,1057
18,990
17,922
17,853
17,799
13,741
11,695
15,653
15,611
16,570
16,544
15,516
16,490
16,463
15,436
15,408
14,394
14,380
14,365
14,366
16,354
15,341
17,344
19,349
20,341
