3,61
6,131
7,211
7,303
8,406
9,522
11,653
12,799
15,959
18,1131
20,1316
23,1516
25,1736
27,1975
34,2239
38,2527
44,2846
53,3194
64,3576
74,3989
84,4437
94,4917
104,5435
112,5987
118,6574
129,7194
139,7841
153,8512
163,9206
176,9923
189,10663
209,11428
226,12216
250,13040
273,13902
300,14810
327,15780
354,16830
373,17969
397,19227
413,20614
433,22159
449,23885
470,25799
494,27942
523,30334
545,32991
576,35945
600,39254
636,42973
666,47167
695,51857
728,57041
767,62702
802,68878
838,75561
882,82735
935,90355
998,98396
1070,106859
1145,115749
1225,125022
1310,134643
1394,144575
1486,154823
1581,165338
1658,176094
1793,187075
1931,198183
2138,209384
2359,220590
2669,231750
2992,242787
3363,253689
3667,264414
4018,275009
4328,285430
4714,295703
5306,305727
5897,315267
6473,324313
7105,332870
7813,340891
8554,348280
9187,355000
9620,361151
10087,366925
10520,372281
11001,377245
11402,381763
11783,385912
12198,389713
12521,393129
12813,396249
13134,399105
13375,401665
13586,404010
13764,406168
13930,408167
14080,410026
14207,411769
14327,413419
14441,414986
14544,416480
14646,417915
14742,419292
14840,420611
14932,421871
15012,423077
15088,424239
15161,425361
15236,426446
15307,427493
15379,428506
