0,61,11
1,70,12
2,79,13
3,91,12
4,103,12
5,115,17
6,130,17
7,146,15
8,159,15
9,172,16
10,185,18
11,200,22
12,219,21
13,239,26
14,263,31
15,288,35
16,318,36
17,348,42
18,381,44
19,413,46
20,447,44
21,480,49
22,517,47
23,552,45
24,587,41
25,620,39
26,647,36
27,670,39
28,693,35
29,717,38
30,740,39
31,764,45
32,787,56
33,824,63
34,862,70
35,907,91
36,969,109
37,1050,117
38,1139,140
39,1258,153
40,1387,175
41,1544,205
42,1726,206
43,1913,255
44,2143,279
45,2392,297
46,2656,326
47,2954,390
48,3308,438
49,3718,515
50,4194,530
51,4690,530
52,5183,518
53,5661,565
54,6176,554
55,6682,540
56,7174,506
57,7620,489
58,8040,502
59,8463,518
60,8890,474
61,9272,448
62,9621,417
63,9932,419
64,10247,378
65,10514,354
66,10756,317
67,10980,277
68,11107,245
69,11200,227
70,11206,191
71,11160,204
72,11037,209
73,10902,216
74,10725,194
75,10594,198
76,10420,181
77,10272,156
78,10024,128
79,9540,109
80,9045,102
81,8557,113
82,8021,91
83,7388,89
84,6719,82
85,6151,72
86,5774,65
87,5356,57
88,4963,48
89,4517,43
90,4149,44
91,3800,42
92,3416,37
93,3120,39
94,2855,36
95,2560,38
96,2344,37
97,2158,29
98,1998,38
99,1859,43
100,1742,43
101,1650,43
102,1567,47
103,1494,47
104,1434,49
105,1376,42
106,1319,41
107,1260,41
108,1205,40
109,1162,37
110,1122,39
111,1085,38
112,1046,39
113,1013,41
114,981,46
