0,5
1,15
2,37
3,68
4,112
5,176
6,260
7,375
8,514
9,718
10,948
11,1227
12,1549
13,1935
14,2377
15,2950
16,3637
17,4516
18,5409
19,6535
20,7898
21,9475
22,11288
23,13319
24,15474
25,17981
26,20570
27,23477
28,26749
29,30311
30,34030

